已知结果来源	样本编号	已知结果	质控结果	原始数据量	质控合格比例	预测性别	检出病原体	read	rpk	过滤标志	已知结果rpk	扩增子覆盖度	扩增子	扩增子read	扩增子rpk	扩增子rate	最佳比对率	anaid	体系	runid
培养物	BL-1-2000-V3-1-test8	布鲁菌|2000	合格	132068	0.07	女性	三叶草根瘤菌|报	1041	788	内参	2000	'1/1	IC_RL2_2	1041	788	1	0.987;1.00	R230829-S081	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BL-1-2000-V3-1-test8	布鲁菌|2000	合格	132068	0.07	女性	人内参ZFX|报	26	19	内参	2000	'1/1	gTGM008	26	19	1	1.000;1.00	R230829-S081	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BL-2-2000-V3-1-test8	布鲁菌|2000	合格	147194	0.09	未知	三叶草根瘤菌|报	2912	1978	内参	2000	'1/1	IC_RL2_2	2912	1978	1	0.987;1.00	R230829-S082	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BL-2-2000-V3-1-test8	布鲁菌|2000	合格	147194	0.09	未知	布鲁菌属|报	195	132	弱阳	2000	'1/3	pTGM242	0	0	0		R230829-S082	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BL-2-2000-V3-1-test8	布鲁菌|2000	合格	147194	0.09	未知	布鲁菌属|报	195	132	弱阳	2000	'1/3	xTGM084	0	0	0		R230829-S082	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BL-2-2000-V3-1-test8	布鲁菌|2000	合格	147194	0.09	未知	布鲁菌属|报	195	132	弱阳	2000	'1/3	xTGM085	195	132	3	0.987;1.00	R230829-S082	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-1-1000-V3-1-test8	乙型流感病毒BV|1000	原始数据不合格	39278	0.13	女性	三叶草根瘤菌|报	13	33	内参	1000	'1/1	IC_RL2_2	13	33	1	0.987;1.00	R230829-S063	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-1-1000-V3-1-test8	乙型流感病毒BV|1000	原始数据不合格	39278	0.13	女性	乙型流感病毒|报	526	1338	阳性	1000	'2/2	dTGM045-2	397	1010	1.51	1.000;1.00	R230829-S063	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-1-1000-V3-1-test8	乙型流感病毒BV|1000	原始数据不合格	39278	0.13	女性	乙型流感病毒|报	526	1338	阳性	1000	'2/2	dTGM058	129	328	0.49	1.000;1.00	R230829-S063	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-1-1000-V3-1-test8	乙型流感病毒BV|1000	原始数据不合格	39278	0.13	女性	人内参ZFX|报	17	43	内参	1000	'1/1	gTGM008	17	43	1	1.000;0.89	R230829-S063	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-2-1000-V3-1-test8	乙型流感病毒BV|1000	内参不合格	145405	0.15	未知	三叶草根瘤菌|报	18	12	内参	1000	'1/1	IC_RL2_2	18	12	1	0.987;1.00	R230829-S064	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-2-1000-V3-1-test8	乙型流感病毒BV|1000	内参不合格	145405	0.15	未知	乙型流感病毒|报	164	112	弱阳	1000	'2/2	dTGM045-2	107	73	1.304	1.000;1.00	R230829-S064	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-2-1000-V3-1-test8	乙型流感病毒BV|1000	内参不合格	145405	0.15	未知	乙型流感病毒|报	164	112	弱阳	1000	'2/2	dTGM058	57	39	0.696	1.000;1.00	R230829-S064	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	BV-2-1000-V3-1-test8	乙型流感病毒BV|1000	内参不合格	145405	0.15	未知	白念珠菌|报	8	5	滤	1000	'1/1	ITGM041	8	5	1	0.974;1.00	R230829-S064	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CMV-1-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	128843	0.07	未知	三叶草根瘤菌|报	1202	932	内参	15000	'1/1	IC_RL2_2	1202	932	1	0.987;1.00	R230829-S061	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CMV-1-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	128843	0.07	未知	库德里阿兹威毕赤酵母（克柔念珠菌）|报	7	5	滤	15000	'1/1	jTGM092	7	5	1	1.000;1.00	R230829-S061	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CMV-1-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	128843	0.07	未知	白念珠菌|报	39	30	弱阳	15000	'1/1	ITGM041	39	30	1	0.974;1.00	R230829-S061	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	CMV-1-15000-V3-1-test8	巨细胞病毒(CMV)|15000	合格	128843	0.07	未知	铜绿假单胞菌|报	35	27	滤	15000	'1/2	pTGM081	0	0	0		R230829-S061	test8	T1-230829_TPMN00204_0132_A000H5MMF3
